N,strategy,noise_type,magnitude,mse,accuracy,cosine
1000,random,flip,0.5,0.21513401955366135,0.02,0.5691593736410141
1000,random,occlusion,0.5,0.11113173476023394,0.24,0.7342684781551361
1000,class_balanced,gaussian,0.05,0.04580726719417744,0.46,0.8604060435295104
1000,class_balanced,gaussian,0.1,0.06340553586579248,0.38,0.8141099053621292
1000,class_balanced,gaussian,0.2,0.0938616468789743,0.24,0.7397879463434219
1000,class_balanced,gaussian,0.3,0.12266331302654834,0.18,0.6782499033212662
1000,class_balanced,gaussian,0.5,0.17619287073612214,0.02,0.5648991441726685
1000,class_balanced,flip,0.05,0.05203099431804453,0.44,0.8444822216033936
1000,class_balanced,flip,0.1,0.06822668970017463,0.34,0.8037254273891449
1000,class_balanced,flip,0.2,0.11619390182197094,0.18,0.6934287512302398
1000,class_balanced,flip,0.3,0.149148738233161,0.06,0.6175872379541397
1000,class_balanced,flip,0.5,0.18837282299995423,0.02,0.5397430342435837
1000,class_balanced,occlusion,0.5,0.08824601815625237,0.2,0.7283051979541778
